"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 10:18:53 GMT 2021","Thu Aug 19 10:19:07 GMT 2021","13266","Gradle suite","Gradle test","TestRunner","TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Aug 19 10:18:54 GMT 2021","Thu Aug 19 10:19:07 GMT 2021","12978","","First test","","run first test","","run first test",""
