"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 10:33:55 GMT 2021","Thu Aug 19 10:34:16 GMT 2021","20140","","First test","","run first test","","run first test",""
"passed","Thu Aug 19 10:33:55 GMT 2021","Thu Aug 19 10:34:16 GMT 2021","20435","Gradle suite","Gradle test","TestRunner","TestRunner","runScenario","Runs Cucumber Scenarios",""
