"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 10:23:19 GMT 2021","Thu Aug 19 10:23:45 GMT 2021","25975","Gradle suite","Gradle test","TestRunner","TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Aug 19 10:23:19 GMT 2021","Thu Aug 19 10:23:44 GMT 2021","25708","","First test","","run first test","","run first test",""
